Item name,Category,Size/Quantity,Price,ImageURL,Image URL
All out refil,ROOM ESSENTIALS,NUMBERS,89,https://source.unsplash.com/200x200/?All+out+refil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMvff86OvgDGZnMUat3YIuY0BpadVZ2jpW0w5tu0BjUa65grBw7ir5yic5BFs&s
All out spray,SELF CARE,,125,https://source.unsplash.com/200x200/?All+out+spray,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT55AOLrkQFbSjMWlpoFZfSmHmvmK2teLvXbmqYief0cnZxU93ONqzn9SOy8BA&s
ALMOND OIL 100ML 75,SELF CARE,BOTTLES,75,https://source.unsplash.com/200x200/?ALMOND+OIL+100ML+75,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5pc5fJdPpRTuSB0rtQGXMW0LH-JO_VYYwIqaVP9rG-pPXIGmc0BgIrrPjzA&s
Amirthanjan Roll on,SELF CARE,NUMBERS,40,https://source.unsplash.com/200x200/?Amirthanjan+Roll+on,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnFYy_meVaWKDasp-ttbDq3SjWMhnI5Kw4R8fAC0RQHbkCYbecdmNUoX70ew&s
AMUL BELGIAN CHOCOLATE,CHOCOLATE,NUMBERS,180,https://source.unsplash.com/200x200/?AMUL+BELGIAN+CHOCOLATE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ84rcDYf1UOMr59z9ZmCVrUIj8ASU6dR9WzYaEgVnI66A7wSJC8fCpndPEwA&s
AMUL CHOCO CRACKER 180rs,CHOCOLATE,NUMBERS,180,https://source.unsplash.com/200x200/?AMUL+CHOCO+CRACKER+180rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTfXVXD0HETnwZ3JOkKqKZt12CUnqRxkxJoU5V100tvmxjqoYJZmbD8lZ_vQ&s
Amul dark chocolate 200rs,CHOCOLATE,NUMBERS,200,https://source.unsplash.com/200x200/?Amul+dark+chocolate+200rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyvcci10VXuNg6qXN9s1SvIGAgvkHfQTUFS-jVIIuX9vTEjkxu63p9tvlLSA&s
AMUL MILK CHOCOLATE  200rs,CHOCOLATE,NUMBERS,200,https://source.unsplash.com/200x200/?AMUL+MILK+CHOCOLATE++200rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTq-8Lgr5nwPpjfR_r-g8-dd93octxXj8HYGkeY6oNDUjbsSKGFHfCNTgP19w&s
Apsara pencil,STATIONARY,NUMBERS,7,https://source.unsplash.com/200x200/?Apsara+pencil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_X_K5W3jbaoKP4BdKFU86k9UBD1vYHCYfS5G4-CWi_Q8hsM8z5JT1-UmFTA&s
Arial liquid 1L,SELF CARE,PACKS,179,https://source.unsplash.com/200x200/?Arial+liquid+1L,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXj0nEoRAwgaafurQ7Z4kwc0H8Wc3Ol2cSWmaxcvp4j9_dDB-Bw7hhiKQhuwk&s
Arial powder,TOILETRIES,PACKS,10,https://source.unsplash.com/200x200/?Arial+powder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvu_D198ckgPjBLsDVuFHRp0aN61ibPDXa5R-GLsnsRL2SqWsOG-A6nd2LPjs&s
Astronaut note book,NOTEBOOK,,40,https://source.unsplash.com/200x200/?Astronaut+note+book,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQo5NyNLa8H7xioE3PMwlwTFNRkCaPE5Qvp0UXZB_hiHhXMKtbgRSVfLIGsVQ&s
AVELIA ALOE VERA BODY WASH,SELF CARE,BOTTLES,180,https://source.unsplash.com/200x200/?AVELIA+ALOE+VERA+BODY+WASH,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGKSeAxL23ijGbUWFf3xrfpQNx-9t3vy6UmdYoPKEasyMkSqmUOZZA0qfrxQ&s
AVELIA ALOE VERA MOISTURIZING  100ML,SELF CARE,NUMBERS,99,https://source.unsplash.com/200x200/?AVELIA+ALOE+VERA+MOISTURIZING++100ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfYzdZ_dZKK4IrbBxYI4VR9JhJIkg_npzLFkgxv5guVcaafw3plhPqAxjn8w&s
AVELIA ANTI DANDRUFF 200ML SHAMPOO,SELF CARE,BOTTLES,149,https://source.unsplash.com/200x200/?AVELIA+ANTI+DANDRUFF+200ML+SHAMPOO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiwFBGDtVmyh0KU4q5iHg3XGHPsPZ3u8T9ZAFNWo-r04JEMwNOeXE3Ay8BSxA&s
AVELIA BRITISH ROSE BODY WASH,SELF CARE,BOTTLES,199,https://source.unsplash.com/200x200/?AVELIA+BRITISH+ROSE+BODY+WASH,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwjbLu5U4JWBxDZ6nJlHMWbEToDbalRrxdx2-wVZmJfZNfC1mYYvRzidHWBGs&s
AVELIA COCONUT OIL 200ML,SELF CARE,BOTTLES,199,https://source.unsplash.com/200x200/?AVELIA+COCONUT+OIL+200ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8UTL3OIQKO-st32_B61S6Q8E0Eu4gJSN0Iv3hy3rgZCKzuvFsiG0mIVYXnw&s
Avelia hair conditioner 318rs,SELF CARE,NUMBERS,318,https://source.unsplash.com/200x200/?Avelia+hair+conditioner+318rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5luc40zzUnqNry1O2hZ8UxIRQwagu8CCQE_auVDInFINfxqwNNjw7A4e0yA&s
